Name,Area
Anderson,"1,062.60"
,
Andrews,"1,500.70"
,
Angelina,797.8
,
Aransas,252.1
,
Archer,903.3
,
Armstrong,909.1
,
Atascosa,"1,219.50"
,
Austin,646.5
,
Bailey,827
,
Bandera,791
,
Bastrop,888.2
,
Baylor,867.5
,
Bee,880.2
,
Bell,"1,053.80"
,
Bexar,"1,240.30"
,
Blanco,709.3
,
Borden,897.4
,
Bosque,983
,
Bowie,885
,
Brazoria,"1,363.30"
,
Brazos,586.1
,
Brewster,"6,183.80"
,
Briscoe,900
,
Brooks,943.4
,
Brown,944.5
,
Burleson,659.1
,
Burnet,994.8
,
Caldwell,545.2
,
Calhoun,506.8
,
Callahan,899.4
,
Cameron,891.7
,
Camp,195.8
,
Carson,920.2
,
Cass,936.9
,
Castro,894.4
,
Chambers,597.2
,
Cherokee,"1,053.00"
,
Childress,696.5
,
Clay,"1,088.80"
,
Cochran,775.1
,
Coke,911.6
,
Coleman,"1,262.90"
,
Collin,841.3
,
Collingsworth,918.4
,
Colorado,960.3
,
Comal,559.5
,
Comanche,937.8
,
Concho,983.8
,
Cooke,874.8
,
Coryell,"1,052.20"
,
Cottle,900.6
,
Crane,785.1
,
Crockett,"2,807.30"
,
Crosby,900.2
,
Culberson,"3,812.20"
,
Dallam,"1,503.10"
,
Dallas,873
,
Dawson,900.3
,
Deaf Smith,"1,496.80"
,
Delta,256.8
,
Denton,878.5
,
DeWitt,909
,
Dickens,901.7
,
Dimmit,"1,328.90"
,
Donley,926.9
,
Duval,"1,793.50"
,
Eastland,926.5
,
Ector,897.8
,
Edwards,"2,117.90"
,
Ellis,935.9
,
El Paso,"1,013.20"
,
Erath,"1,083.20"
,
Falls,765.5
,
Fannin,890.8
,
Fayette,949.9
,
Fisher,899
,
Floyd,992.1
,
Foard,704.4
,
Fort Bend,861.7
,
Franklin,284.4
,
Freestone,877.7
,
Frio,"1,133.50"
,
Gaines,"1,502.40"
,
Galveston,379
,
Garza,893.4
,
Gillespie,"1,058.20"
,
Glasscock,900.2
,
Goliad,852
,
Gonzales,"1,066.70"
,
Gray,926
,
Grayson,932.8
,
Gregg,273.4
,
Grimes,787.5
,
Guadalupe,711.3
,
Hale,"1,004.70"
,
Hall,883.5
,
Hamilton,835.9
,
Hansford,919.8
,
Hardeman,695.1
,
Hardin,890.6
,
Harris,"1,706.20"
,
Harrison,900.1
,
Hartley,"1,462.00"
,
Haskell,903.1
,
Hays,676.9
,
Hemphill,906.3
,
Henderson,873.8
,
Hidalgo,"1,570.80"
,
Hill,958.9
,
Hockley,908.4
,
Hood,420.7
,
Hopkins,767.4
,
Houston,"1,231.00"
,
Howard,900.8
,
Hudspeth,"4,570.50"
,
Hunt,840.4
,
Hutchinson,887.4
,
Irion,"1,051.50"
,
Jack,911
,
Jackson,829.4
,
Jasper,938.7
,
Jeff Davis,"2,264.60"
,
Jefferson,876.8
,
Jim Hogg,"1,136.20"
,
Jim Wells,865.2
,
Johnson,724.7
,
Jones,928.6
,
Karnes,747.8
,
Kaufman,780.9
,
Kendall,662.5
,
Kenedy,"1,458.60"
,
Kent,902.5
,
Kerr,"1,103.30"
,
Kimble,"1,251.00"
,
King,910.9
,
Kinney,"1,360.50"
,
Kleberg,881.3
,
Knox,850.6
,
Lamar,907.3
,
Lamb,"1,016.20"
,
Lampasas,712.5
,
La Salle,"1,486.70"
,
Lavaca,969.7
,
Lee,629
,
Leon,"1,073.20"
,
Liberty,"1,158.30"
,
Limestone,905.4
,
Lipscomb,932.2
,
Live Oak,"1,039.70"
,
Llano,934.1
,
Loving,668.8
,
Lubbock,895.6
,
Lynn,891.9
,
McCulloch,"1,065.60"
,
McLennan,"1,036.70"
,
McMullen,"1,139.80"
,
Madison,466.1
,
Marion,380.9
,
Martin,915
,
Mason,928.8
,
Matagorda,"1,092.90"
,
Maverick,"1,279.50"
,
Medina,"1,325.40"
,
Menard,902
,
Midland,900.4
,
Milam,"1,016.70"
,
Mills,748.2
,
Mitchell,911.1
,
Montague,930.9
,
Montgomery,"1,042.30"
,
Moore,899.7
,
Morris,252
,
Motley,989.6
,
Nacogdoches,946.6
,
Navarro,"1,009.60"
,
Newton,933.7
,
Nolan,912
,
Nueces,839.1
,
Ochiltree,917.7
,
Oldham,"1,500.50"
,
Orange,333.8
,
Palo Pinto,952.5
,
Panola,811.4
,
Parker,903.7
,
Parmer,880.8
,
Pecos,"4,763.80"
,
Polk,"1,057.00"
,
Potter,908.4
,
Presidio,"3,855.30"
,
Rains,229.5
,
Randall,912.7
,
Reagan,"1,175.30"
,
Real,699.2
,
Red River,"1,043.90"
,
Reeves,"2,635.40"
,
