index,val
0,solar
1,solar
2,solar
3,solar
4,solar
5,solar
6,solar
7,solar
8,wind
9,solar
10,solar
11,solar
12,solar
13,solar
14,solar
15,solar
16,solar
17,solar
18,wind
19,solar
20,solar
21,solar
22,solar
23,solar
24,solar
25,solar
26,solar
27,solar
28,solar
29,solar
30,solar
31,wind
32,solar
33,solar
34,solar
35,solar
36,solar
37,solar
38,solar
39,solar
40,solar
41,solar
42,solar
43,solar
44,solar
45,solar
46,solar
47,solar
48,solar
49,solar
50,solar
51,solar
52,solar
53,solar
54,solar
55,solar
56,solar
57,solar
58,solar
59,solar
60,solar
61,solar
62,solar
63,solar
64,solar
65,solar
66,solar
67,solar
68,solar
69,solar
70,solar
71,solar
72,solar
73,solar
74,solar
75,wind
76,gas
77,gas
78,gas
79,gas
80,gas
81,solar
82,solar
83,solar
84,solar
85,solar
86,solar
87,solar
88,solar
89,solar
90,wind
91,gas
92,gas
93,gas
94,gas
95,gas
96,wind
97,wind
98,wind
99,wind
100,wind
101,wind
102,wind
103,wind
104,solar
105,solar
106,wind
107,gas
108,gas
109,gas
110,gas
111,gas
112,wind
113,wind
114,wind
115,wind
116,wind
117,wind
118,wind
119,wind
120,solar
121,solar
122,wind
123,gas
124,gas
125,gas
126,gas
127,gas
128,wind
129,wind
130,wind
131,wind
132,wind
133,wind
134,wind
135,wind
136,solar
137,solar
138,solar
139,wind
140,gas
141,gas
142,gas
143,gas
144,gas
145,wind
146,wind
147,wind
148,wind
149,wind
150,wind
151,wind
152,wind
153,solar
154,solar
155,solar
156,gas
157,gas
158,gas
159,gas
160,gas
161,wind
162,wind
163,wind
164,wind
165,wind
166,wind
167,wind
168,wind
169,solar
170,solar
171,solar
172,wind
173,solar
174,solar
175,solar
176,solar
177,solar
178,solar
179,solar
180,wind
181,wind
182,wind
183,wind
184,solar
185,solar
186,solar
187,solar
188,solar
189,solar
190,solar
191,solar
192,solar
193,solar
194,solar
195,solar
196,solar
197,solar
198,wind
199,wind
200,wind
201,wind
202,solar
203,solar
204,solar
205,solar
206,solar
207,solar
208,solar
209,solar
210,solar
211,solar
212,solar
213,solar
214,solar
215,solar
216,wind
217,wind
218,wind
219,wind
220,solar
221,solar
222,solar
223,solar
224,solar
225,solar
226,wind
227,solar
228,solar
229,solar
230,solar
231,solar
232,solar
233,solar
234,solar
235,wind
236,wind
237,wind
238,wind
239,solar
240,solar
241,solar
242,solar
243,solar
244,solar
245,solar
246,wind
247,solar
248,solar
249,solar
250,solar
251,solar
252,solar
253,solar
254,solar
255,solar
256,wind
257,wind
258,wind
259,wind
260,solar
261,solar
262,solar
263,solar
264,solar
265,solar
266,solar
267,solar
268,solar
269,solar
270,solar
271,solar
272,solar
273,solar
274,solar
275,solar
276,solar
277,solar
278,wind
279,wind
280,wind
281,wind
282,solar
283,solar
284,solar
285,solar
286,solar
287,solar
288,solar
289,solar
290,solar
291,wind
292,solar
293,solar
294,solar
295,solar
296,solar
297,solar
298,solar
299,solar
300,solar
301,solar
302,wind
303,wind
304,wind
305,wind
306,solar
307,solar
308,solar
309,solar
310,solar
311,solar
312,solar
313,solar
314,solar
315,solar
316,solar
317,solar
318,wind
319,solar
320,solar
321,solar
322,solar
323,solar
324,solar
325,solar
326,solar
327,wind
328,wind
329,wind
330,wind
331,wind
332,wind
333,wind
334,wind
335,solar
336,solar
337,solar
338,solar
339,solar
340,solar
341,solar
342,solar
343,wind
344,wind
345,wind
346,wind
347,solar
348,solar
349,solar
350,solar
351,solar
352,solar
353,wind
354,wind
355,wind
356,wind
357,wind
358,wind
359,wind
360,wind
361,solar
362,wind
363,wind
364,wind
365,wind
366,solar
367,wind
368,solar
369,solar
370,solar
371,solar
372,wind
373,wind
374,solar
375,solar
376,solar
377,solar
378,solar
379,solar
380,solar
381,solar
382,solar
383,wind
384,wind
385,wind
386,wind
387,wind
388,wind
389,wind
390,wind
391,wind
392,wind
393,wind
394,wind
395,wind
396,solar
397,solar
398,solar
399,solar
400,solar
401,solar
402,wind
403,wind
404,wind
405,solar
406,solar
407,solar
408,solar
409,solar
410,solar
411,solar
412,solar
413,solar
414,wind
415,wind
416,wind
417,wind
418,wind
419,wind
420,wind
421,wind
422,wind
423,wind
424,wind
425,wind
426,wind
427,solar
428,solar
429,wind
430,solar
431,solar
432,solar
433,solar
434,solar
435,solar
436,solar
437,solar
438,wind
439,solar
440,solar
441,solar
442,solar
443,solar
444,solar
445,solar
446,solar
447,solar
448,wind
449,wind
450,wind
451,wind
452,wind
453,wind
454,wind
455,wind
456,wind
457,wind
458,wind
459,wind
460,wind
461,solar
462,solar
463,wind
464,solar
465,solar
466,solar
467,solar
468,solar
469,solar
470,solar
471,solar
472,solar
473,solar
474,solar
475,solar
476,solar
477,solar
478,solar
479,solar
480,solar
481,solar
482,solar
483,solar
484,wind
485,wind
486,wind
487,wind
488,wind
489,wind
490,wind
491,wind
492,wind
493,wind
494,wind
495,wind
496,wind
497,solar
498,solar
499,solar
500,solar
501,solar
502,solar
503,solar
504,solar
505,solar
506,wind
507,solar
508,solar
509,solar
510,solar
511,solar
512,solar
513,solar
514,solar
515,solar
516,solar
517,solar
518,solar
519,solar
520,solar
521,solar
522,solar
523,solar
524,solar
525,solar
526,solar
527,solar
528,solar
529,solar
530,solar
531,solar
532,solar
533,solar
534,solar
535,solar
536,solar
537,wind
538,solar
539,solar
540,water
541,solar
542,solar
543,solar
544,solar
545,solar
546,solar
547,solar
548,solar
549,solar
550,solar
551,solar
552,solar
553,solar
554,solar
555,solar
556,solar
557,solar
558,solar
559,solar
560,solar
561,solar
562,solar
563,solar
564,solar
565,solar
566,solar
567,solar
568,solar
569,solar
570,solar
571,solar
572,solar
573,solar
574,solar
575,solar
576,solar
577,solar
578,wind
579,solar
580,solar
581,solar
582,solar
583,solar
584,solar
585,solar
586,solar
587,solar
588,solar
589,solar
590,solar
591,solar
592,solar
593,water
594,solar
595,solar
596,solar
597,solar
598,solar
599,solar
600,solar
601,solar
602,solar
603,solar
604,solar
605,solar
606,solar
607,solar
608,solar
609,solar
610,solar
611,solar
612,solar
613,solar
614,solar
615,solar
616,wind
617,solar
618,solar
619,solar
620,solar
621,solar
622,solar
623,water
624,water
625,solar
626,solar
627,solar
628,solar
629,solar
630,water
631,water
632,water
633,water
634,water
635,water
636,water
637,solar
638,solar
639,solar
640,solar
641,solar
642,solar
643,solar
644,solar
645,solar
646,solar
647,solar
648,solar
649,solar
650,solar
651,solar
652,solar
653,solar
654,wind
655,wind
656,wind
657,wind
658,solar
659,solar
660,solar
661,solar
662,solar
663,solar
664,solar
665,solar
666,solar
667,solar
668,solar
669,solar
670,solar
671,solar
672,solar
673,solar
674,solar
675,solar
676,water
677,water
678,water
679,solar
680,solar
681,solar
682,water
683,water
684,solar
685,solar
686,solar
687,solar
688,solar
689,solar
690,solar
691,solar
692,solar
693,wind
694,wind
695,wind
696,wind
697,wind
698,wind
699,wind
700,wind
701,wind
702,wind
703,solar
704,solar
705,solar
706,solar
707,solar
708,solar
709,solar
710,solar
711,solar
712,solar
713,solar
714,solar
715,solar
716,solar
717,solar
718,solar
719,solar
720,solar
721,solar
722,water
723,solar
724,solar
725,solar
726,water
727,water
728,solar
729,solar
730,solar
731,solar
732,water
733,water
734,water
735,solar
736,solar
737,solar
738,solar
739,solar
740,solar
741,solar
742,wind
743,wind
744,wind
745,wind
746,wind
747,solar
748,wind
749,wind
750,wind
751,wind
752,wind
753,wind
754,wind
755,wind
756,solar
757,solar
758,solar
759,solar
760,solar
761,solar
762,solar
